"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","test_capitalize_text[-False]",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","Count Words Test","Test the count_words function with various inputs and check the output."
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","1","tests","test_text_processor","","","","test_capitalize_text[123-123]",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","1","tests","test_text_processor","","","","test_capitalize_text[None-False]",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","Text Processor","Palindrome Test","Palindrome","","","test_is_palindrome",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","test_capitalize_text[hello-Hello]",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","test_attach_screenshot",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","1","tests","test_text_processor","","","","test_capitalize_text[HELLO-Hello]",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","test_capitalize_text_with_fixture",""
"passed","Wed Jun 12 07:28:29 GMT 2024","Wed Jun 12 07:28:29 GMT 2024","0","tests","test_text_processor","","","","test_reverse_string",""
